#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;2579.7;1067.5;118.1;235.2;324.5;2876.0;2942.3;2973.5;2994.7;3154.1;3790.5;3938.7;4057.2;5442.8;7532.9;4012.0
read;2151.9;1335.5;118.1;211.6;249.2;2856.0;2946.2;2988.6;3078.4;3179.8;3518.0;3728.2;4006.6;4886.9;7848.3;8964.8
read;1785.9;1371.4;109.4;208.5;252.6;2786.5;2923.9;2988.5;3064.3;3144.2;3224.1;3460.2;3840.7;5136.0;12719.6;14050.6
read;1449.1;1299.7;101.3;216.2;257.4;582.2;2820.1;2914.3;2973.3;3054.6;3146.9;3263.8;3903.5;5575.7;12192.9;19068.0
read;1246.2;1240.8;109.4;238.0;289.5;631.2;806.5;2771.2;2890.4;3010.3;3134.4;3330.1;5263.1;5891.8;8122.5;24055.4
read;1155.7;1173.0;109.4;245.7;306.2;649.4;807.5;1009.5;2726.2;2939.3;3101.6;3312.6;5120.1;5835.3;10443.2;29072.2
read;1967.2;2127.5;255.0;711.5;760.5;934.7;1077.8;1672.7;4402.9;4858.3;5075.9;5900.0;9407.2;10154.7;11050.2;32168.4
read;1980.8;2140.3;187.4;706.0;758.5;943.0;1091.5;1677.7;4449.9;4863.6;5070.2;5906.6;9425.3;10185.6;13546.0;32241.4
read;2031.2;2208.3;127.6;732.7;783.8;971.5;1100.3;1703.0;4492.8;4905.0;5099.0;7607.7;9541.5;10193.9;11030.5;31459.0
read;1999.8;2267.4;160.7;710.3;762.8;947.8;1082.8;1620.1;1987.0;4873.5;5102.6;8528.5;9646.3;10210.7;15478.9;31939.3
read;1961.1;2155.4;127.6;651.0;717.1;939.3;1087.9;1621.6;4429.2;4871.8;5080.6;5923.1;9464.2;10183.9;11536.8;32580.6
read;1970.7;2273.4;173.5;706.1;756.1;927.9;1057.1;1577.4;1876.2;4848.1;5104.2;8738.6;9660.7;10211.4;11599.0;32439.0
read;1950.0;2202.1;148.8;707.3;752.9;915.7;1040.7;1588.1;1955.6;4858.1;5089.6;8225.1;9527.4;10183.2;10248.8;32776.4
read;2026.0;2266.4;173.5;731.6;778.6;956.2;1085.2;1667.7;2243.4;4896.8;5110.0;8660.9;9661.2;10221.9;13232.2;31550.8
read;2013.9;2283.9;148.8;725.1;777.2;954.9;1077.7;1608.7;2023.8;4886.1;5102.4;8730.0;9632.7;10239.1;13679.4;31741.4
read;2061.6;2209.7;255.0;746.1;796.2;984.2;1131.2;1747.9;4669.2;4924.7;5111.2;6332.0;9598.3;10199.2;11045.6;31010.0
