#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;2508.3;4296.3;118.1;251.6;1190.6;1355.2;1451.3;3637.4;3833.9;3905.5;3977.2;4048.9;30019.1;38339.3;47424.8;5028.2;5000
read;1537.6;2663.2;109.4;212.4;248.0;1313.4;1381.0;1445.6;1490.0;1581.3;3545.4;3873.1;6966.6;35310.1;42860.8;9928.8;10000
read;1174.9;1385.5;109.4;220.5;268.1;1257.6;1366.9;1440.6;1498.1;1560.8;1656.1;3393.8;3915.7;21603.6;36423.6;14919.0;15000
read;1061.4;992.0;109.4;218.2;271.2;847.1;1353.4;1454.8;1521.2;1576.7;1671.1;3036.0;3489.9;8863.4;30556.2;19971.4;20000
read;1028.9;1072.8;109.4;216.0;264.9;649.8;1329.0;1458.4;1534.7;1592.6;1704.5;2835.6;3437.7;13123.5;31773.1;24835.2;25000
read;1038.5;1520.8;101.3;222.7;273.1;647.9;1241.6;1391.2;1504.9;1579.8;1716.7;2611.4;5219.2;29903.7;35834.0;29939.0;30000
read;2403.9;4122.9;137.8;716.9;771.0;961.4;1100.4;1694.6;4432.4;4921.3;5382.7;8985.1;30267.1;37461.7;52599.3;32825.8;35000
read;2443.1;4160.1;187.4;727.4;782.4;970.6;1131.3;1727.7;4479.8;4928.5;5455.3;8996.6;30011.4;37428.8;49383.6;32650.8;40000
read;2398.9;4082.9;148.8;730.5;777.5;955.6;1102.8;1739.8;4591.8;4920.7;5153.4;8732.5;30277.8;37051.7;44022.3;33179.6;45000
read;2355.3;4036.9;118.1;704.3;754.5;939.5;1094.6;1689.9;4470.4;4890.8;5183.5;8743.0;29602.4;37068.4;53109.3;33669.0;50000
read;2425.7;4198.6;148.8;724.4;778.0;965.3;1098.9;1716.4;4458.9;4905.1;5254.0;8918.6;30281.1;37554.9;51359.8;33032.6;55000
read;2312.0;4036.3;202.4;697.7;742.7;913.3;1078.0;1633.7;3592.3;4822.9;5128.8;8582.7;30121.2;36852.9;49651.4;34408.9;60000
read;2452.6;4130.0;137.8;751.1;801.6;984.4;1145.5;1795.9;4626.4;4936.2;5306.8;8851.9;30065.3;37383.4;50576.3;32460.4;65000
read;2394.1;4081.4;173.5;717.3;771.0;960.1;1109.1;1707.6;4435.6;4899.4;5275.6;8900.9;29457.2;37507.8;51263.1;33101.8;70000
read;2393.0;4046.9;148.8;710.5;766.3;966.1;1155.9;1767.2;4607.0;4914.9;5127.9;8327.6;29861.0;37161.4;52018.5;33242.4;75000
read;2467.0;4155.2;148.8;735.0;791.3;991.1;1166.8;1785.6;4656.0;4944.8;5370.8;8982.3;30340.4;37213.7;49475.9;32291.2;80000
