#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;307.4;226.3;118.1;182.1;208.7;289.8;317.3;334.3;345.7;362.9;385.7;432.4;648.5;2939.8;15075.7;3964.6
read;391.1;197.7;109.4;187.8;221.0;361.9;423.4;464.0;497.3;534.5;576.9;634.1;785.8;2340.8;5071.6;8954.4
read;451.5;271.8;109.4;186.5;223.8;412.5;504.8;560.3;598.0;636.4;684.7;763.9;982.9;3448.5;8142.6;13926.6
read;483.5;226.8;109.4;190.8;228.0;451.0;558.8;613.8;651.1;693.6;746.7;833.3;1018.9;2903.4;3896.4;18970.0
read;485.4;266.2;101.3;180.8;210.2;447.3;555.4;615.9;658.5;709.7;776.3;876.7;1146.7;2652.9;6590.8;23976.6
read;507.8;259.3;101.3;187.5;218.9;461.7;594.1;656.3;702.1;760.4;840.4;947.2;1194.4;2419.0;3760.9;28977.2
read;521.0;312.5;101.3;183.0;214.8;487.0;605.4;664.6;707.1;758.2;827.4;932.0;1256.1;3578.5;7767.2;33913.8
read;506.9;274.8;101.3;180.6;211.5;480.0;597.6;654.4;692.8;741.7;808.0;913.1;1141.6;2070.3;4560.1;39074.6
read;509.9;279.6;101.3;180.9;210.6;475.3;600.3;661.5;704.2;755.8;829.3;940.4;1206.1;2179.5;5040.7;43870.0
read;526.1;274.5;101.3;184.3;219.7;491.4;615.9;681.0;726.4;780.6;854.3;973.3;1256.0;2081.1;6483.5;49048.6
read;526.3;255.3;101.3;191.2;226.5;494.3;615.7;678.8;725.6;781.4;852.7;960.0;1220.4;1932.6;3707.2;53851.0
read;539.4;274.3;109.4;201.5;237.1;497.2;621.1;687.7;738.0;799.2;879.7;1011.4;1349.4;2029.2;3716.8;59050.4
read;1012.5;320.5;118.1;717.6;768.4;919.6;979.3;1012.7;1059.8;1180.5;1627.5;1787.3;1989.3;2447.7;5118.0;62405.6
read;1028.0;337.4;93.8;745.6;790.6;930.6;988.6;1018.0;1065.8;1170.4;1663.7;1819.1;2007.9;2396.4;7152.8;62121.4
read;1020.6;349.6;127.6;709.9;763.3;921.8;989.3;1034.9;1087.8;1265.1;1634.0;1793.4;2017.8;2541.7;7165.3;62619.0
read;1019.8;324.1;118.1;727.4;776.0;921.5;981.3;1014.9;1067.1;1225.3;1647.5;1799.6;1998.7;2347.1;4220.6;62680.6
