#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;326.3;440.7;118.1;189.0;207.9;287.6;319.3;338.6;352.9;370.7;396.9;446.7;901.9;5679.1;16592.1;5010.8;5000
read;420.1;405.5;118.1;201.5;236.3;372.0;428.2;467.7;502.9;546.5;601.4;684.6;982.1;6448.9;13914.9;10066.2;10000
read;473.4;351.6;118.1;197.5;240.4;422.8;515.1;576.3;617.8;665.1;720.2;797.2;1118.9;3799.0;10715.0;14873.6;15000
read;512.7;387.8;118.1;192.3;230.7;460.5;575.5;639.1;688.8;740.3;800.3;896.0;1168.9;3969.2;15234.3;20033.6;20000
read;516.0;499.0;109.4;185.4;216.1;460.0;577.0;643.1;694.2;750.2;815.6;918.9;1213.9;5740.3;20402.4;24984.0;25000
read;530.1;419.1;109.4;188.0;218.2;472.8;599.8;669.7;721.5;781.0;850.2;970.8;1269.0;6980.6;12520.3;30134.4;30000
read;527.4;395.7;101.3;183.7;216.3;490.5;605.3;664.9;708.5;765.5;835.6;937.0;1240.8;4006.7;15972.9;34907.4;35000
read;522.6;396.0;109.4;183.8;212.0;467.0;599.9;668.6;720.2;786.7;867.7;987.2;1302.3;3755.2;14324.8;39959.7;40000
read;511.6;351.9;101.3;183.4;209.8;450.9;579.4;653.4;708.8;783.8;880.3;1006.5;1287.7;3052.7;12779.0;45146.4;45000
read;523.6;338.4;109.4;189.1;218.6;475.8;595.2;664.9;714.7;779.2;873.4;1009.8;1285.2;2987.0;12651.7;49864.2;50000
read;524.5;333.5;109.4;193.3;224.4;479.7;598.3;664.6;713.3;776.8;868.2;1000.8;1274.7;2751.3;11680.6;55029.8;55000
read;571.9;380.5;101.3;211.3;251.3;531.5;642.3;706.6;756.6;824.0;919.2;1060.2;1452.0;3207.0;13258.6;60009.6;60000
read;986.7;541.1;118.1;553.1;681.1;903.6;970.2;1011.0;1065.3;1228.5;1594.3;1761.3;1995.0;5373.3;20381.4;63657.2;65000
read;984.8;500.6;127.6;683.2;723.6;865.4;928.5;981.5;1047.3;1418.5;1582.0;1707.7;1888.1;4669.1;19446.8;66436.8;70000
read;1008.9;467.5;109.4;696.6;744.1;895.5;960.3;1010.0;1085.5;1432.3;1619.2;1736.3;1972.1;4229.5;18692.3;65217.8;75000
read;1021.0;493.7;109.4;709.7;757.5;904.4;967.7;1011.6;1078.4;1437.2;1639.6;1765.4;1985.9;5046.1;17778.1;64717.0;80000
