#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;2204.9;2500.8;137.8;256.5;802.9;2098.0;2149.7;2174.0;2189.3;2287.5;3825.1;3978.6;12203.7;32074.6;37508.8;5042.4;5000
read;1830.0;1776.8;118.1;228.0;269.5;2088.4;2159.4;2192.8;2254.4;2336.3;3518.8;3753.1;4058.1;29537.4;35113.8;10028.6;10000
read;1574.6;1460.5;109.4;214.5;267.1;2055.1;2163.5;2228.8;2291.8;2354.8;3019.5;3477.7;3926.0;22159.1;30580.4;14909.2;15000
read;1386.6;1296.8;109.4;206.1;248.1;1024.0;2135.2;2205.5;2274.6;2343.8;2540.1;3238.7;3707.6;14570.4;30841.0;19973.0;20000
read;1244.2;1403.4;109.4;214.9;256.5;612.2;2069.6;2162.0;2228.8;2312.5;2433.3;2853.6;3695.1;18977.1;32375.7;25001.2;25000
read;1231.2;2251.0;109.4;219.7;261.2;599.8;1096.4;2108.1;2197.7;2304.4;2438.7;2711.0;5140.0;32371.5;48226.1;29941.0;30000
read;1199.3;2457.3;109.4;237.9;289.2;630.3;809.2;1126.0;2068.8;2232.8;2407.2;2732.2;5323.7;32218.4;38350.6;34996.5;35000
read;2322.9;4047.4;160.7;685.8;732.4;917.7;1069.1;1566.1;1897.9;4846.6;5437.7;9065.6;28897.1;37127.1;48091.5;34099.6;40000
read;2109.1;3961.9;148.8;601.2;638.5;797.4;1071.6;1412.6;1692.2;4600.3;5048.1;8184.0;29693.0;37520.1;56854.2;38013.0;45000
read;2205.2;3933.2;160.7;657.5;701.0;862.9;1023.2;1527.4;1847.7;4694.6;5100.3;8462.8;30160.8;35993.0;45058.3;35884.0;50000
read;2120.3;3867.4;137.8;623.7;661.7;818.3;976.7;1421.1;1619.1;4608.3;5113.5;8524.3;27638.5;37127.6;48670.7;37231.8;55000
read;2190.5;3929.9;173.5;646.2;692.6;855.2;1037.0;1504.9;1827.3;4687.3;5101.2;8425.5;29284.6;37031.1;49230.7;36193.8;60000
read;2278.1;4049.2;173.5;674.6;714.9;890.8;1049.7;1532.7;1799.2;4765.5;5316.7;8968.0;28860.6;37525.0;46059.8;34791.4;65000
read;2205.5;3899.4;148.8;653.6;697.2;860.8;1036.4;1500.5;1821.0;4740.0;5124.1;8565.4;28033.4;37030.3;48873.5;35757.6;70000
read;2368.6;4144.9;148.8;700.5;748.7;929.4;1089.1;1624.8;2282.3;4879.4;5272.6;8966.8;30122.0;37305.5;49118.4;33826.6;75000
read;2112.0;3882.9;148.8;615.2;653.4;805.5;1016.3;1422.0;1622.5;4587.1;5071.8;8343.5;28889.1;36835.3;43281.9;37670.6;80000
