#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;1924.3;888.4;118.1;232.5;340.5;1831.9;1869.2;1890.3;1951.4;2012.5;3778.1;3927.5;4047.0;4474.2;9498.1;3988.0
read;1623.7;1007.9;109.4;220.6;262.1;1831.0;1909.7;1968.8;2005.7;2061.3;3271.7;3676.8;3976.6;4070.8;9168.6;8924.0
read;1421.8;1006.5;109.4;209.2;264.2;1797.3;1908.8;1988.9;2040.3;2120.8;2231.6;3409.5;3736.6;4051.8;7569.7;13889.0
read;1262.2;960.7;109.4;205.6;249.0;677.0;1875.6;1986.4;2058.9;2127.3;2195.7;3106.8;3470.2;4008.0;7924.0;18997.0
read;1150.5;909.5;109.4;213.7;256.7;622.9;1835.8;1961.1;2057.0;2126.9;2196.8;2749.8;3385.1;4395.1;7684.3;24035.0
read;1044.7;883.3;109.4;220.6;264.4;621.3;997.8;1857.0;1981.5;2094.7;2186.5;2465.0;3893.9;5262.9;5952.6;29136.2
read;2011.1;2135.7;148.8;722.6;779.9;972.9;1111.3;1706.4;4540.5;4888.1;5073.9;5892.9;9442.8;10179.6;11157.5;31619.4
read;2005.4;2234.2;160.7;723.4;773.7;957.5;1091.6;1638.8;2131.4;4859.9;5099.9;8384.9;9529.4;10203.9;13989.5;31855.0
read;1948.8;2232.1;127.6;698.0;751.8;925.3;1051.3;1577.1;1867.7;4822.2;5082.8;8367.0;9544.9;10195.3;16571.2;32749.6
read;1999.9;2181.9;137.8;713.2;767.1;962.0;1096.7;1671.9;4410.9;4872.9;5083.6;6337.1;9474.2;10184.0;15073.7;31956.8
read;1983.5;2191.7;148.8;701.6;755.8;948.7;1099.3;1629.7;2393.9;4847.3;5078.1;6725.9;9488.6;10195.6;13639.1;32199.4
read;2039.5;2168.2;160.7;731.1;785.1;982.3;1135.0;1728.0;4639.3;4912.0;5091.7;5973.3;9452.9;10177.8;11794.9;31336.6
read;2034.9;2235.8;187.4;739.2;790.2;974.9;1110.8;1673.1;4251.8;4907.5;5111.8;8384.8;9490.9;10201.2;13828.4;31401.0
read;1973.2;2204.9;187.4;700.5;757.4;944.4;1082.5;1611.6;2004.2;4847.4;5087.9;8277.1;9487.5;10186.5;10699.6;32397.6
read;2066.3;2286.6;202.4;742.6;799.5;987.7;1141.1;1680.7;2556.0;4918.2;5179.8;8702.1;9647.8;10205.4;12325.3;30937.8
read;2042.3;2235.9;118.1;721.1;782.4;982.5;1131.6;1682.6;4473.5;4905.6;5104.7;8352.5;9544.6;10220.6;12812.7;31292.7
