#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;326.1;518.6;118.1;183.1;200.9;286.4;320.0;339.6;354.4;372.5;399.3;449.4;968.7;5706.9;16955.9;4946.4;5000
read;391.6;434.8;118.1;188.9;212.3;353.7;412.3;450.4;481.0;521.1;570.2;638.4;953.8;4973.4;28340.0;9957.2;10000
read;461.4;429.2;101.3;197.7;230.3;406.6;506.8;567.3;605.5;644.8;695.5;785.8;1066.1;4946.9;17094.4;14934.3;15000
read;501.0;379.2;109.4;199.0;240.5;451.3;565.5;622.2;660.6;704.5;764.6;915.3;1130.4;4011.7;12803.6;20111.7;20000
read;532.2;343.8;109.4;197.8;239.9;495.9;612.4;664.5;702.1;748.8;852.9;954.8;1198.0;3826.5;12734.5;24927.2;25000
read;542.6;459.0;109.4;188.7;226.1;510.6;622.4;674.3;713.1;767.7;862.5;952.5;1236.6;5560.6;16924.3;29980.0;30000
read;537.4;384.1;109.4;186.3;220.6;498.8;618.9;677.8;722.3;786.4;870.8;962.0;1292.8;3937.5;11450.9;35178.2;35000
read;523.7;377.0;109.4;183.6;212.9;479.3;609.0;668.7;713.3;776.2;859.7;956.3;1280.5;3742.3;12602.6;39893.2;40000
read;527.7;426.2;101.3;183.5;213.2;476.7;606.8;670.0;719.7;786.9;864.9;972.0;1306.1;4489.3;15931.3;44997.8;45000
read;535.8;398.4;101.3;188.2;220.0;489.2;617.8;683.4;736.8;799.5;871.1;978.7;1344.8;2992.1;15081.5;49835.6;50000
read;532.0;407.6;101.3;191.4;222.8;484.7;612.5;678.2;730.0;790.0;859.9;965.3;1305.2;4387.5;15147.3;54908.2;55000
read;553.2;378.1;109.4;202.2;236.3;499.8;630.5;706.9;763.5;825.7;901.9;1037.4;1407.0;2933.3;12871.5;59850.6;60000
read;541.8;385.3;109.4;203.0;236.2;477.5;605.4;688.6;752.6;825.3;910.0;1049.4;1366.9;3018.3;12160.6;64837.0;65000
read;1028.0;557.3;127.6;707.0;757.4;912.2;977.5;1016.7;1081.0;1402.0;1635.9;1777.6;2005.1;6348.4;20345.6;64330.8;70000
read;1017.0;501.7;137.8;706.4;754.9;902.6;963.6;1006.8;1068.5;1423.8;1632.6;1752.6;1971.9;4974.3;19973.7;64940.5;75000
read;1018.3;536.9;109.4;693.0;742.3;899.7;969.1;1019.5;1097.4;1412.1;1619.7;1748.9;2020.7;7072.6;19813.8;64983.4;80000
