#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;314.7;196.0;127.6;187.9;213.5;300.2;329.7;346.1;360.6;376.0;399.7;441.5;594.9;2240.7;5081.2;4013.8
read;402.7;253.0;109.4;189.0;221.1;365.1;434.3;477.1;508.7;545.1;627.5;699.2;843.8;3711.4;7764.0;8977.6
read;461.9;238.3;118.1;193.1;231.0;411.9;506.4;593.9;645.8;689.1;734.3;802.1;1047.3;2774.7;4396.2;14125.1
read;483.0;267.8;109.4;189.4;224.2;418.8;547.4;644.4;689.1;734.0;788.3;877.0;1129.7;3099.7;5406.4;18909.8
read;518.6;260.6;109.4;190.1;227.3;468.9;622.7;685.8;724.6;769.3;832.0;941.9;1167.6;2028.6;4632.2;23993.6
read;494.7;295.9;109.4;179.1;206.2;426.0;575.0;662.1;710.8;765.8;837.5;946.5;1175.7;3140.1;5469.7;29090.6
read;505.8;283.9;109.4;181.6;209.4;435.9;592.5;677.3;732.6;797.6;878.8;1006.2;1215.3;2249.4;4076.1;33861.9
read;501.2;291.4;101.3;176.2;202.6;442.6;589.3;660.9;707.4;764.2;849.6;987.7;1216.5;2867.4;6118.5;38863.2
read;486.4;274.5;109.4;174.4;198.5;427.1;560.4;641.4;694.2;758.1;845.4;975.7;1188.3;2250.3;3847.7;43938.8
read;495.6;318.1;101.3;175.9;199.8;431.5;565.5;639.2;692.3;762.1;864.9;1013.5;1270.4;2891.1;9191.8;48892.6
read;484.1;272.3;101.3;177.1;201.7;422.6;548.1;624.3;681.9;755.3;855.2;997.9;1224.9;1945.3;4761.9;53865.8
read;520.1;292.8;109.4;185.8;216.2;464.0;594.1;664.2;717.7;786.9;885.5;1046.2;1421.4;2385.9;5084.3;58828.4
read;504.0;273.4;101.3;185.7;216.7;447.7;568.8;641.6;704.0;779.3;869.8;1005.6;1274.4;1962.9;4277.7;63951.0
read;565.6;333.1;101.3;195.2;233.3;501.8;650.5;732.5;785.9;846.8;932.3;1113.7;1608.0;2999.7;5905.4;68619.2
read;571.3;314.1;109.4;219.0;261.0;526.6;634.1;700.5;758.5;840.0;948.7;1108.8;1367.3;2581.7;5525.3;73917.2
read;952.2;319.8;127.6;673.2;713.0;845.3;903.0;939.8;1004.3;1401.3;1555.8;1672.5;1841.9;2365.6;4949.3;67136.0
