#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;397.6;563.4;118.1;187.9;221.5;325.6;367.6;394.9;417.2;445.5;482.6;544.0;2899.6;8183.8;8758.9;3926.0
read;495.7;603.9;118.1;184.8;220.8;413.5;504.0;554.8;588.7;628.3;680.0;771.7;3047.8;8500.3;9477.1;9030.0
read;512.9;573.4;118.1;178.0;206.4;432.5;533.8;593.3;634.8;681.8;742.1;845.7;2575.8;8219.7;9918.2;13934.4
read;606.0;623.2;118.1;184.3;219.4;526.4;637.6;701.9;747.8;811.7;897.4;1018.9;3309.7;8466.3;9598.2;18968.0
read;574.9;615.4;109.4;180.4;209.1;475.4;613.8;690.4;752.4;826.3;916.6;1066.7;2315.9;9058.2;10073.6;23922.0
read;635.2;635.8;109.4;188.9;225.2;557.0;681.4;746.5;799.9;864.0;952.8;1098.0;3415.3;8576.3;10105.4;28981.9
read;632.9;597.1;109.4;184.0;220.9;553.3;698.4;771.4;824.6;889.8;981.1;1148.4;2646.7;8968.5;11053.9;33936.9
read;641.8;602.2;109.4;186.4;222.7;557.0;709.6;790.8;849.0;917.6;1010.6;1183.0;2410.9;8156.8;11746.4;39204.6
read;640.3;530.1;109.4;189.6;230.6;568.9;718.3;802.1;861.2;930.5;1016.9;1186.7;1957.0;7487.8;9432.3;43917.4
read;846.5;650.4;109.4;234.5;322.3;797.0;965.9;1031.6;1073.2;1125.4;1215.0;1667.2;2506.9;9255.8;13656.8;49119.8
read;1280.0;531.4;109.4;970.6;1028.1;1162.6;1217.0;1251.0;1272.2;1331.6;1875.6;2267.9;2559.8;8011.3;10356.9;49719.4
read;1303.8;535.2;137.8;982.7;1032.7;1186.6;1250.5;1280.7;1325.0;1373.7;1695.4;2278.6;2677.8;9039.9;11019.0;49028.2
read;1321.2;544.9;118.1;1013.9;1052.0;1198.8;1254.8;1281.2;1324.9;1373.1;1833.3;2314.0;2710.8;8303.4;10637.7;48372.0
read;1200.7;465.8;160.7;898.0;948.3;1079.0;1136.9;1170.6;1200.3;1279.3;1889.7;2110.7;2430.1;7008.6;9748.1;53249.6
read;1249.7;511.8;127.6;951.9;995.5;1130.2;1177.7;1217.5;1252.7;1302.1;1906.0;2192.3;2537.9;8338.2;10478.9;51128.8
read;1323.2;588.5;127.6;990.0;1038.9;1187.9;1250.3;1279.8;1326.2;1379.8;1963.0;2308.7;2922.5;9023.0;10793.4;48329.0
