#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;483.9;1425.8;127.6;204.8;232.4;337.9;384.0;415.1;440.9;477.0;530.6;607.3;3875.3;29386.8;37236.6;4979.4;5000
read;525.1;1175.1;118.1;187.6;222.5;404.6;499.4;556.1;591.9;632.0;680.0;759.1;3585.4;24895.7;32401.1;10089.6;10000
read;585.3;1067.5;109.4;178.6;215.3;474.9;611.6;676.9;719.7;767.7;830.6;936.4;2912.9;9952.6;36327.8;15144.8;15000
read;574.6;863.9;109.4;178.1;214.9;478.1;621.0;697.1;746.1;801.1;873.2;990.7;1730.3;9160.6;31827.4;19932.4;20000
read;590.1;864.0;101.3;176.9;207.7;480.7;631.4;721.1;778.7;841.2;920.5;1057.1;2286.3;7800.2;32199.4;24898.6;25000
read;592.9;945.2;109.4;175.4;200.6;472.3;634.1;735.3;799.4;862.2;937.5;1065.3;2109.6;8462.4;33377.3;30032.8;30000
read;632.0;959.3;109.4;177.8;208.0;519.5;671.3;758.7;829.0;906.8;1001.5;1159.1;2466.8;9369.5;36452.4;35009.6;35000
read;684.5;990.8;109.4;184.6;220.1;568.0;718.2;803.1;872.2;948.6;1049.0;1240.4;3203.3;12475.9;31725.5;39880.3;40000
read;669.1;953.6;109.4;186.4;221.8;548.6;706.9;797.8;868.2;943.3;1051.5;1257.0;2896.7;9409.4;32088.8;44938.8;45000
read;542.9;618.1;101.3;176.2;200.6;454.6;592.2;683.0;750.0;825.4;920.1;1048.8;1449.7;7950.3;28599.2;50077.2;50000
read;610.0;873.6;109.4;181.8;213.4;501.2;650.5;744.7;809.1;888.1;1013.3;1180.0;1742.3;9255.8;32406.4;54947.2;55000
read;1186.2;939.4;109.4;857.4;893.0;1021.8;1076.3;1105.6;1158.9;1300.0;1850.4;2012.8;2534.4;11632.3;32012.0;56316.4;60000
read;1025.5;670.3;118.1;700.5;753.1;892.3;942.9;994.2;1050.0;1359.8;1633.2;1770.6;2087.9;9420.3;28350.9;63398.4;65000
read;1126.6;883.3;101.3;805.1;838.1;970.8;1017.9;1067.5;1099.4;1339.8;1771.7;1927.9;2407.5;10462.7;32380.4;59373.0;70000
read;1008.6;812.5;118.1;689.1;723.5;849.8;908.5;949.2;1051.8;1432.8;1580.6;1705.3;2349.8;9225.3;31878.3;65970.8;75000
read;1157.6;933.9;127.6;816.2;858.8;993.6;1052.1;1087.6;1136.0;1338.5;1795.8;1971.6;2868.3;11298.1;31915.8;57925.0;80000
