#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;439.3;1346.3;118.1;189.5;218.6;315.7;359.4;387.4;408.9;435.8;473.2;542.4;3527.7;30238.7;37475.2;4984.4;5000
read;530.8;1263.2;109.4;182.2;211.8;394.4;485.6;539.6;575.6;616.4;671.4;782.8;3898.7;29366.5;32317.4;10069.8;10000
read;587.9;1090.6;109.4;179.2;214.7;474.5;585.1;643.8;686.1;739.8;811.8;931.2;3621.9;9427.7;37141.2;15092.8;15000
read;557.2;938.2;109.4;175.0;200.4;457.9;581.7;654.0;706.5;766.9;844.8;963.2;2575.0;9479.2;36612.4;19787.0;20000
read;602.0;991.3;109.4;176.9;205.7;497.7;628.7;699.9;755.1;827.4;920.7;1064.4;2507.1;11601.2;36189.7;24917.0;25000
read;646.5;1106.9;109.4;181.0;212.4;529.0;660.8;728.4;781.2;850.9;943.0;1095.2;4115.4;10260.1;32271.1;29968.8;30000
read;644.0;922.7;109.4;182.9;217.8;555.3;695.8;764.2;813.6;876.3;964.8;1111.5;2781.5;9317.9;32334.2;35046.8;35000
read;626.8;764.8;109.4;188.4;225.0;556.2;701.0;775.0;825.1;884.0;965.3;1096.4;1715.4;8711.1;31896.2;40075.3;40000
read;679.5;858.2;109.4;193.9;236.4;587.4;739.4;820.5;873.4;941.5;1031.4;1201.4;2520.0;8679.4;32115.7;44851.1;45000
read;620.5;679.7;109.4;192.7;231.2;542.8;684.4;766.6;823.4;890.0;984.4;1159.5;1814.7;8273.9;28682.1;49853.9;50000
read;790.9;806.4;101.3;246.8;330.5;729.3;873.3;935.6;982.3;1039.1;1142.3;1491.7;2086.1;8778.9;32110.5;55052.4;55000
read;1212.2;958.4;109.4;868.2;907.6;1051.0;1100.7;1154.3;1187.9;1349.2;1884.2;2071.6;2753.4;12100.0;34698.1;55316.0;60000
read;1212.5;921.6;127.6;874.9;911.6;1053.8;1099.6;1150.2;1182.6;1338.1;1903.8;2084.9;2729.1;10857.4;33194.2;55305.0;65000
read;1152.3;839.3;118.1;817.0;861.8;994.8;1053.0;1088.3;1141.2;1387.8;1816.7;1980.2;2568.5;10045.3;31839.7;57865.8;70000
read;1250.2;1054.7;118.1;886.8;934.9;1068.4;1123.8;1165.6;1201.3;1358.1;1933.4;2121.9;3451.8;15252.3;33926.1;53992.0;75000
read;1239.9;1022.2;101.3;881.9;928.7;1067.9;1124.1;1165.9;1202.3;1341.9;1913.1;2111.8;3052.9;15607.4;32286.9;54379.8;80000
