#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;379.5;484.1;118.1;182.1;213.5;322.4;366.5;392.0;410.6;434.7;468.0;528.5;2066.1;6610.5;15085.1;3933.2
read;497.5;525.0;118.1;180.3;219.7;428.0;511.5;559.7;593.9;633.6;685.0;782.3;2705.1;7766.5;8101.9;9025.0
read;537.7;500.2;118.1;182.0;216.4;471.5;575.9;635.0;677.4;726.6;796.5;910.1;2146.7;6877.1;9493.3;14019.8
read;563.4;558.4;109.4;173.7;202.2;499.8;607.7;673.0;720.5;776.7;848.9;953.9;1823.9;8086.1;9228.3;19086.6
read;616.1;690.8;109.4;174.6;206.0;519.7;645.3;718.4;774.1;844.7;931.2;1073.4;4182.8;8601.8;10849.5;23821.8
read;615.2;639.7;109.4;177.4;209.1;531.3;663.2;733.0;787.8;859.2;945.2;1092.5;2947.2;8368.2;11707.6;29034.0
read;582.4;554.8;101.3;174.3;202.0;502.1;643.7;719.2;777.0;849.3;943.1;1091.6;1761.5;7924.1;9072.5;33936.6
read;609.1;659.3;109.4;176.2;204.8;499.4;652.4;737.9;798.4;867.5;967.1;1139.6;3397.6;8547.6;11743.2;38860.5
read;639.7;582.2;101.3;186.0;224.7;560.6;708.4;790.3;847.7;915.4;1008.9;1185.8;2250.5;8410.1;10232.5;43995.6
read;616.2;542.5;109.4;186.3;224.2;543.0;685.9;766.0;823.1;887.9;971.5;1135.8;1867.2;7910.0;9691.1;48797.6
read;812.9;546.5;109.4;248.6;337.9;778.5;908.6;965.1;1003.8;1064.2;1183.6;1604.3;2148.9;8253.2;9416.7;54036.6
read;1088.6;537.9;109.4;771.8;820.8;962.2;1013.8;1060.9;1094.1;1251.9;1713.6;1890.5;2277.5;8617.8;10999.9;57756.4
read;1194.2;568.1;118.1;888.6;937.1;1064.2;1112.5;1153.3;1178.8;1255.6;1879.9;2092.6;2426.7;8641.5;11127.8;53507.4
read;1155.1;592.6;118.1;836.8;884.7;1020.7;1075.2;1101.9;1154.2;1252.3;1808.2;2004.7;2533.0;9328.1;14020.1;55326.2
read;1169.1;539.2;118.1;834.2;889.3;1040.8;1089.8;1133.9;1172.7;1278.5;1849.0;2046.5;2498.7;8289.0;10333.0;54682.0
read;1133.6;492.6;118.1;831.7;880.2;1008.1;1064.8;1093.6;1141.0;1249.7;1807.1;1982.4;2276.3;8102.4;10248.9;56400.6
