#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;339.9;244.5;118.1;192.0;212.7;312.8;354.2;379.1;397.9;422.5;456.4;515.1;777.2;4193.3;8385.3;4975.8;5000
read;444.5;579.8;118.1;203.6;233.8;395.2;467.3;515.3;551.5;593.5;648.8;767.0;974.9;5445.7;36181.0;9993.8;10000
read;494.5;405.0;109.4;200.9;243.2;433.9;539.4;605.5;662.2;723.7;781.3;868.2;1125.0;4911.9;12733.9;14943.8;15000
read;530.5;415.4;109.4;188.7;229.4;465.0;599.3;688.1;736.7;789.3;865.5;989.3;1254.3;4397.8;13654.0;19998.6;20000
read;557.3;342.8;101.3;191.5;233.4;514.5;651.7;713.7;753.0;802.3;886.7;1011.7;1269.4;4197.4;11428.5;24791.4;25000
read;562.7;427.6;109.4;192.2;229.5;505.8;660.0;723.5;767.7;828.8;928.1;1046.7;1342.1;4556.1;15664.3;30033.4;30000
read;554.2;368.3;109.4;188.4;221.9;503.9;649.9;712.2;758.3;827.3;920.2;1031.2;1335.8;3637.7;11514.1;35042.4;35000
read;537.3;393.3;101.3;181.0;211.2;488.3;626.5;688.1;733.5;797.0;892.9;1011.7;1328.5;3453.6;12731.2;39860.0;40000
read;519.0;356.4;101.3;179.0;205.2;450.8;591.1;668.1;727.3;813.3;918.2;1048.7;1327.2;2726.9;12514.3;45107.4;45000
read;522.2;363.9;101.3;180.8;208.8;461.5;593.8;665.6;723.7;805.8;911.0;1047.9;1355.4;2478.1;13212.3;49983.0;50000
read;541.9;345.5;101.3;188.7;222.7;506.3;623.5;686.3;736.4;801.2;884.3;1008.1;1320.1;2423.9;13490.2;54664.8;55000
read;534.6;343.9;101.3;190.6;224.4;493.3;610.7;675.2;727.6;797.4;879.3;1004.4;1330.5;2381.2;12762.1;59785.6;60000
read;559.2;350.3;101.3;199.2;237.8;513.0;632.8;706.9;765.6;834.6;918.4;1065.9;1449.9;2214.5;12410.9;64997.4;65000
read;995.1;444.1;118.1;691.7;742.9;888.9;942.9;994.5;1046.7;1331.9;1595.7;1728.2;1931.0;4737.2;15809.0;65949.3;70000
read;978.8;479.1;118.1;687.2;727.4;865.5;924.9;970.4;1016.6;1392.4;1572.8;1701.1;1878.2;4331.6;20106.3;67288.6;75000
read;1020.5;448.1;137.8;709.1;761.1;907.4;969.3;1010.4;1072.7;1411.1;1651.5;1781.2;1995.9;4275.9;16091.0;64460.4;80000
