#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      240.8   354.2    74.4   116.8   126.8   198.5   241.8   268.8   289.6   316.3   355.6   422.5   746.2  4235.8 15985.0  29932.0    30000
read      237.8   334.8    80.4   119.3   129.4   200.1   242.7   268.8   288.8   314.0   350.2   410.9   621.2  4173.5 15380.2  30061.5    30010
read      240.8   288.3    80.4   120.5   130.7   202.7   247.8   274.4   295.2   321.0   360.1   423.8   636.2  3876.9 11669.1  29981.9    30020
read      238.6   281.3    80.4   120.1   130.4   202.8   247.0   273.6   294.2   319.3   356.2   417.3   629.8  3120.9 14030.3  29981.5    30030
read      237.6   272.0    80.4   119.8   129.8   201.1   245.8   272.7   293.6   319.2   357.1   419.1   641.8  3170.5 12501.7  30014.8    30040
read      242.3   313.9    74.4   119.3   129.5   203.7   249.2   276.7   297.7   324.3   362.8   426.9   667.6  3548.7 13884.7  29998.4    30050
read      237.1   230.7    80.4   119.6   129.8   202.8   248.7   275.8   296.6   323.0   361.5   423.9   625.8  2877.6  9469.1  30086.8    30060
read      236.8   356.5    80.4   119.5   129.5   199.5   242.2   268.7   288.9   314.3   349.9   410.9   613.3  3980.7 17841.2  30041.9    30070
read      244.4   280.6    80.4   122.0   132.6   204.1   248.1   274.6   295.4   321.9   360.9   425.9   718.2  4210.2  9232.1  30044.5    30080
read      243.5   258.0    74.4   122.1   132.9   204.6   248.9   276.1   297.2   324.6   364.0   429.2   691.6  3005.9  8752.5  30101.8    30090
read      249.0   278.9    80.4   123.4   134.3   206.4   252.0   280.7   302.9   332.0   373.4   443.5   781.1  3526.0 10935.8  30088.7    30100
