Sun May  8 19:43:29 UTC 2022
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      239.2   196.1    74.4   128.4   141.5   215.8   253.8   277.3   295.6   318.7   352.2   406.5   544.8  1643.7  8518.5  29964.8    30000
read      251.3   269.1    74.4   125.6   137.7   216.8   262.4   290.1   311.5   338.6   375.3   436.9   639.3  3238.8 10908.5  30016.2    30010
read      248.2   278.4    80.4   121.1   131.6   208.8   256.8   285.9   308.1   336.3   374.7   438.3   694.6  3863.0 11577.3  30016.6    30020
read      246.1   352.2    74.4   119.3   129.4   203.8   249.8   277.2   298.0   325.0   362.5   422.5   686.3  4097.5 15757.7  29976.5    30030
read      247.3   302.5    80.4   120.2   130.8   207.9   255.7   284.6   306.4   334.5   373.0   435.9   693.8  3644.7 11692.2  30013.2    30040
read      243.7   286.2    80.4   120.3   130.9   207.9   254.8   282.8   304.2   331.2   368.4   428.3   612.0  3754.9  9868.1  30040.9    30050
read      242.8   271.3    80.4   120.6   131.1   206.7   254.0   282.0   303.3   330.2   367.3   428.5   650.2  3082.2 12189.7  30071.8    30060
read      244.4   341.2    74.4   119.3   129.5   204.4   250.4   277.7   298.4   324.9   362.8   424.0   656.9  4333.1 14637.4  30098.5    30070
read      242.3   320.3    80.4   120.2   130.6   206.2   252.5   280.1   300.9   327.2   364.2   424.1   624.6  3193.2 15157.1  30079.7    30080
read      247.1   287.6    74.4   120.4   131.2   209.2   257.1   285.6   307.2   334.3   372.2   433.8   672.0  3618.1 11794.1  30141.2    30090
read      252.2   362.4    80.4   121.9   132.7   209.5   256.5   285.0   306.7   334.4   372.6   436.5   735.8  4351.2 18924.3  30151.6    30100
read      249.6   262.8    80.4   123.0   134.1   210.8   258.0   286.4   308.0   335.4   373.0   435.3   717.2  3441.6  8668.7  30108.6    30110
read      255.6   298.0    74.4   123.6   134.9   213.4   261.8   290.8   313.1   341.8   382.1   449.0   782.9  4135.5 11286.2  30096.2    30120
read      252.3   294.0    80.4   122.4   133.5   209.6   255.9   284.1   305.6   333.0   372.1   437.4   830.4  4007.3 10174.4  30172.6    30130
read      238.2   173.2    74.4   127.2   139.9   213.4   252.8   277.5   296.6   320.6   355.2   410.3   546.8  1965.3  7010.6  30032.9    30140
read      245.2   179.2    80.4   129.4   142.9   220.5   261.5   286.5   305.7   330.2   365.2   422.6   567.4  1770.2  7923.3  30153.8    30150
^C
